PEITSCH_CODE,ALL_ORDER,A_ORDER,B_ORDER,C_ORDER,D_ORDER,ALL_UNORDER,A_UNORDER,B_UNORDER,C_UNORDER,D_UNORDER
5,91.03687169493124,93.29789883501516,89.3700270678005,90.19506544651584,91.99381093972193,89.40725580566064,92.47135828591128,87.57285825777683,87.9561388119613,90.7350943322016
7,91.02062516440725,93.7973309973332,88.98645863927234,90.61172295779932,91.84944126627255,89.3389591290689,93.0364127433319,86.88046282136611,88.55786189874196,90.60109709923482
9,91.44813828194302,93.95311955686395,89.52661240115245,90.6114458785155,91.76929994134574,89.89208712805248,93.25268395933067,87.6206903806558,88.53342918436661,90.47166809242259
13,91.4899741682226,94.25985126238777,89.74299256750214,90.46969203463162,92.41192565143996,89.96817986522909,93.67379780842357,88.02113577994108,88.31660583659755,91.28525785339147
11,91.28900171424502,94.13784839769215,89.85493409975665,90.64365819754087,92.01106655220231,89.70953511024689,93.49372851870937,88.13601080970898,88.59340314728236,90.80020174865602
17,91.51041002841791,93.96060073133961,90.12589209622614,90.26775710466661,91.84743448901102,90.04823353131796,93.26655566635314,88.51404340504872,88.19347198549121,90.62579613021882
19,91.67315024323082,94.0758843806661,89.65811875723914,90.4766842214851,92.07374619745548,90.17978570135959,93.33519492013909,87.82370814300207,88.37511749694997,90.88987964984125
25,91.75954895315185,94.53135404762418,90.41841221783368,90.36863791809489,92.00122957069195,90.28677546736094,93.9284037135016,88.81131058203708,88.26373583690682,90.72892278051769
15,91.13588933069838,94.74143254083461,89.26852604102643,90.9469135879569,91.86999105100021,89.47430868395662,94.09745967939536,87.26406851625097,89.04967512608634,90.63931585138225
21,91.2971290447153,93.37806493121522,90.04346992273848,90.67244094813998,92.14160560381713,89.86933579201157,92.51204108776342,88.49649016626364,88.66590945683319,91.15171956989757
27,91.82327487700957,94.2705250610164,90.50995381854304,90.7726393813689,91.95106426451355,90.41805259210307,93.6116837575971,88.91609338286787,88.82488813840314,90.72933105429037
23,91.65081090853992,94.00191328303855,89.85553732580831,91.32460810392658,92.109080952997,90.21126693616134,93.29787984122311,88.28437243816147,89.4393905244753,90.94803510493875
29,91.39829519218534,93.81466026659294,89.8805636608887,90.86601694628744,92.24430042945615,89.91687197997805,93.03912239331251,88.28223626849199,88.85638296326697,91.19370119055927
41,91.58889442687725,94.24409516948853,90.00566529369603,90.73772494005402,92.49851081716989,90.13033791473174,93.57177846426181,88.33454620443888,88.72774486864375,91.44645160516704
37,91.09283319968385,93.61440261329528,89.44575107712045,90.36355118391057,92.05665862628291,89.47422468748557,92.95531813195232,87.4545944650078,88.21605903852192,90.87116779806681
49,91.49055036764751,94.31458934969818,89.85879354847626,90.12848454331287,92.20107519718663,89.94714517135903,93.68215624281085,88.02347371165932,87.9062410206837,91.04058478815784
35,91.17218176712285,93.9286203459143,90.79796826406773,90.24607101933266,90.93172222923215,89.52045521487408,93.18752222997142,89.33817751461092,87.98557669494684,89.430338045691
51,91.75975829268683,93.86971450428133,90.67310436552354,90.08725986457945,92.34132984407576,90.26038364595327,93.01026436459404,88.9008150161884,87.97711243572387,91.0961776313293
39,91.07546439718446,93.26508074124234,89.77635090988437,90.62081905128558,91.33502215479595,89.28741325630354,92.28279333136422,87.76206537631663,88.5006995881931,89.82080845684185
43,91.49947763551818,94.3295626648614,90.45921255676656,90.46745068411292,92.7434691829546,90.1217667061323,93.61262621268251,89.16324072483343,88.47321109323036,91.84836793399914
53,91.19222451196276,94.73584834074924,89.72976898357167,90.20443960442657,92.91393367572462,89.67310939303091,94.2685388141801,87.97706919892639,88.00929815856267,92.05480369330557
45,90.96070840020964,94.56580389356346,88.63925241491526,90.42619299105098,92.9921529566215,89.22371286058613,93.78392110041254,86.37365097642649,88.30072479787096,92.01235145956257
57,91.61657814415402,94.48086584147617,90.2333346933275,90.7794776690673,92.34081282700569,90.1158506837754,93.7519975910897,88.62376776913298,88.81155118440475,91.20260165256067
73,91.32350112511178,94.44641282837799,89.05135088106044,89.70724221608228,92.07401788286167,89.75326732552743,93.84225181695533,87.0291352434229,87.41377607348042,90.84649258713169
69,91.7592779911138,95.50217011502075,90.06926977627748,90.65460636688132,92.0297393646428,90.32439909749657,95.14413540519394,88.45218585327825,88.54353316955397,90.84181584725613
