PEITSCH_CODE,ALL_ORDER,A_ORDER,B_ORDER,C_ORDER,D_ORDER,ALL_UNORDER,A_UNORDER,B_UNORDER,C_UNORDER,D_UNORDER
5,90.72096179189603,92.58568656755229,88.68752506706981,90.29773459900065,91.85810502595406,89.03404281681325,91.55755819415538,86.82154482270776,88.11556083877706,90.59635305484288
7,90.74803042327336,93.23622935041342,88.57805947473653,90.48600138671102,91.82494071985414,88.96459794152179,92.3273671123746,86.51711173430611,88.34795821149758,90.55395791994644
9,91.06880718022411,93.39178426289624,89.14339625290816,90.40164750285089,91.57226810183732,89.39048157103011,92.54570091855432,87.15317687674556,88.26905127997499,90.23684117685886
11,90.86281441896911,93.1266620211266,88.78805173384595,90.51007956625077,92.10380219445322,89.18143554101086,92.14927149854806,87.06697888517425,88.38980932891138,90.88666912341749
13,91.04094668142449,93.60147556878387,89.09139854288442,90.41044192288565,92.01280925460557,89.365330392467,92.77432282101226,87.19354583656526,88.24519443096037,90.81587881298954
17,90.98045462719186,93.30280374881858,89.04862562736079,90.19137177588624,91.61746878388192,89.3024387727378,92.434220248784,87.15845997506989,87.98711657744768,90.34548093762257
19,91.34903490555934,93.77884300191334,88.9669169627351,90.37996676643961,91.95655011074211,89.76190942482025,93.00915474904622,87.08728259870475,88.20680638510737,90.75279129756152
25,91.34220543541849,94.19970706907927,89.64865252840796,90.25298532677043,91.95904649375362,89.71312439567929,93.44593337016309,87.98546979655768,88.06693719815573,90.66648915126612
15,90.94938516350015,93.78357747774534,88.51753734467492,90.8355079950231,92.1158644741648,89.26396152020908,92.91581966673785,86.54075678644175,88.91058716948744,90.96320370251978
21,90.95802807655218,92.63209292544755,89.73743412673863,90.60957882776464,91.55890919538007,89.41591329749865,91.58361078014553,88.18212614474963,88.55205888170431,90.37228348079458
27,91.28065362058332,93.70756793493358,89.00083559641489,90.62657107095009,91.68632798098852,89.74467235694719,92.89819563423065,87.30283914324872,88.60674021251829,90.43953997847477
23,91.2825375881496,93.3527359911253,89.24586421779355,90.90868446967177,92.33388791070772,89.7239433713126,92.48738670759398,87.44355310877003,88.93948103951585,91.28010200826347
41,91.04059840817037,94.10725979768661,89.06570164553008,90.34107171309076,91.9457950684736,89.44818324779189,93.45262139065923,87.38443550974989,88.24529397518232,90.70355465956987
49,90.98293007152802,93.60948360592117,89.08059800494075,89.90678925130288,91.9311502116482,89.24617254253045,92.80786918855821,87.25632929366131,87.56330290990752,90.61592925338738
29,91.15727954179401,93.46285551998764,89.63059705014615,90.69737160312727,92.0630859216786,89.6157427472358,92.59876463060681,88.01337117064297,88.69049907763208,90.99404169703735
37,90.95205177038191,92.47543599241531,89.64169279077342,90.51365956254307,91.60962773438507,89.25362694584112,91.41089561852849,87.78354952560456,88.42269783949274,90.31735185454912
35,90.97145306910107,93.10873088971196,89.96665723216579,90.12884654647287,91.60128344931333,89.23563221600882,92.13445427678427,88.26880607374366,87.8070569514155,90.36586600232572
51,91.3341172754747,93.27827654281134,89.8699210517749,90.30159963406975,92.00761907666156,89.72703873193265,92.26450898436933,88.13567901151985,88.20668054267115,90.77447659633945
43,91.26475830049357,92.81182037665539,89.89246411198793,90.72160988069945,92.4691689018141,89.78829196226913,91.79660191616944,88.52950343360844,88.74067455350486,91.467621581811
39,91.01429931717612,92.88883903862583,89.76819042654502,90.49059488176346,91.69697066304481,89.24207045209928,91.7641449113327,87.86338010204699,88.38234220153122,90.3455524123727
57,91.22491672477635,94.13974130378773,89.44280345655237,90.60107301649182,92.12777367733638,89.58158121564807,93.35668742912854,87.53880813594674,88.54514397783211,91.04218113855549
